Disease,Climate_Variable,Correlation,P_value,Significant,N
Pebrine,Tmax,0.29588390323833436,0.007320531942878702,Yes,81
Pebrine,Tmin,-0.41636416927331205,0.0001105720268181219,Yes,81
Pebrine,Temp_Range,0.4001749217936171,0.0002142982531682075,Yes,81
Pebrine,Mean_Temp,0.0003888291764304416,0.9972512369955351,No,81
Pebrine,Humidity,0.038013670186644956,0.7361717120898769,No,81
Pebrine,Rainfall,,,No,43
Pebrine,Wind_Speed,0.140434416399154,0.272294608878351,No,63
Pebrine,THI,0.24631221136972842,0.05165606213661429,No,63
Pebrine,Dry_Bulb,0.0630770208413888,0.6233400158908653,No,63
Pebrine,Wet_Bulb,0.004654583068484656,0.9711189197292607,No,63
Virosis,Tmax,0.2733044026488067,0.013560319065199519,Yes,81
Virosis,Tmin,-0.20395279419465873,0.06780618235878985,No,81
Virosis,Temp_Range,0.2828814778613919,0.010501687001595076,Yes,81
Virosis,Mean_Temp,0.14165263417536766,0.20715387580230987,No,81
Virosis,Humidity,0.027641410414644695,0.8064929372657645,No,81
Virosis,Rainfall,,,No,43
Virosis,Wind_Speed,0.10143113487673927,0.42894048110857336,No,63
Virosis,THI,0.058480056234417974,0.6489178678048374,No,63
Virosis,Dry_Bulb,-0.2534451608708698,0.0450455117612348,Yes,63
Virosis,Wet_Bulb,-0.15083177515283797,0.2380075727667448,No,63
Bacteriosis,Tmax,0.29588390323833436,0.007320531942878702,Yes,81
Bacteriosis,Tmin,-0.41636416927331205,0.0001105720268181219,Yes,81
Bacteriosis,Temp_Range,0.4001749217936171,0.0002142982531682075,Yes,81
Bacteriosis,Mean_Temp,0.0003888291764304416,0.9972512369955351,No,81
Bacteriosis,Humidity,0.038013670186644956,0.7361717120898769,No,81
Bacteriosis,Rainfall,,,No,43
Bacteriosis,Wind_Speed,0.140434416399154,0.272294608878351,No,63
Bacteriosis,THI,0.24631221136972842,0.05165606213661429,No,63
Bacteriosis,Dry_Bulb,0.0630770208413888,0.6233400158908653,No,63
Bacteriosis,Wet_Bulb,0.004654583068484656,0.9711189197292607,No,63
Muscardine,Tmax,0.29588390323833436,0.007320531942878702,Yes,81
Muscardine,Tmin,-0.41636416927331205,0.0001105720268181219,Yes,81
Muscardine,Temp_Range,0.4001749217936171,0.0002142982531682075,Yes,81
Muscardine,Mean_Temp,0.0003888291764304416,0.9972512369955351,No,81
Muscardine,Humidity,0.038013670186644956,0.7361717120898769,No,81
Muscardine,Rainfall,,,No,43
Muscardine,Wind_Speed,0.140434416399154,0.272294608878351,No,63
Muscardine,THI,0.24631221136972842,0.05165606213661429,No,63
Muscardine,Dry_Bulb,0.0630770208413888,0.6233400158908653,No,63
Muscardine,Wet_Bulb,0.004654583068484656,0.9711189197292607,No,63
