,Tmax,Tmin,Temp_Range,Mean_Temp,Humidity,Rainfall,Wind_Speed,THI,Dry_Bulb,Wet_Bulb,Pebrine,Virosis,Bacteriosis,Muscardine,Total_Pests
Tmax,1.0,-0.47926900246026205,0.9068193509096116,0.7271249137067718,0.10985871818861279,,0.14021077361929726,0.5753954947391791,-0.06577695103799736,-0.029168210576182102,0.295883903238334,0.2733044026488069,0.295883903238334,0.295883903238334,0.6310441959676862
Tmin,-0.47926900246026205,1.0,-0.804564582423166,0.2540352358811095,0.15409396459245814,,-0.43097345290519923,-0.056277136376861936,0.09172837328805583,0.5028606005793138,-0.41636416927331243,-0.2039527941946577,-0.41636416927331243,-0.41636416927331243,-0.33132175603607633
Temp_Range,0.9068193509096116,-0.804564582423166,1.0,0.36999564235900806,0.00032775393071709374,,0.31359839656642696,0.41084664959261336,-0.0906061974325909,-0.2766478350247042,0.40017492179361697,0.28288147786139195,0.40017492179361697,0.40017492179361697,0.5861142267644621
Mean_Temp,0.7271249137067718,0.2540352358811095,0.36999564235900806,1.0,0.24159601261096753,,-0.20012333790768616,0.5548972898224013,0.0051153137030728575,0.37371193122678115,0.00038882917643024583,0.14165263417536839,0.00038882917643024583,0.00038882917643024583,0.43625680924721855
Humidity,0.10985871818861279,0.15409396459245814,0.00032775393071709374,0.24159601261096753,1.0,,-0.38048129230415795,0.39052674177277874,0.01076140173870224,0.2461583990363685,0.03801367018664281,0.027641410414644973,0.03801367018664281,0.03801367018664281,0.2688699093568994
Rainfall,,,,,,,,,,,,,,,
Wind_Speed,0.14021077361929726,-0.43097345290519923,0.31359839656642696,-0.20012333790768616,-0.38048129230415795,,1.0,0.02008223276734011,-0.09403227041459014,-0.2008071108070228,0.14043441639915402,0.10143113487673938,0.14043441639915402,0.14043441639915402,0.06676375990792044
THI,0.5753954947391791,-0.056277136376861936,0.41084664959261336,0.5548972898224013,0.39052674177277874,,0.02008223276734011,1.0,-0.012791146307442134,0.3320435359473343,0.24631221136972825,0.05848005623441752,0.24631221136972825,0.24631221136972825,0.44663424049627864
Dry_Bulb,-0.06577695103799736,0.09172837328805583,-0.0906061974325909,0.0051153137030728575,0.01076140173870224,,-0.09403227041459014,-0.012791146307442134,1.0,0.5026120725080151,0.0630770208413891,-0.2534451608708696,0.0630770208413891,0.0630770208413891,-0.2628746932533985
Wet_Bulb,-0.029168210576182102,0.5028606005793138,-0.2766478350247042,0.37371193122678115,0.2461583990363685,,-0.2008071108070228,0.3320435359473343,0.5026120725080151,1.0,0.00465458306848381,-0.15083177515283724,0.00465458306848381,0.00465458306848381,0.029003798388172932
Pebrine,0.295883903238334,-0.41636416927331243,0.40017492179361697,0.00038882917643024583,0.03801367018664281,,0.14043441639915402,0.24631221136972825,0.0630770208413891,0.00465458306848381,1.0,0.02852608767315843,1.0,1.0,0.15666682585245292
Virosis,0.2733044026488069,-0.2039527941946577,0.28288147786139195,0.14165263417536839,0.027641410414644973,,0.10143113487673938,0.05848005623441752,-0.2534451608708696,-0.15083177515283724,0.02852608767315843,1.0,0.028526087673158434,0.028526087673158434,0.40774751367855255
Bacteriosis,0.295883903238334,-0.41636416927331243,0.40017492179361697,0.00038882917643024583,0.03801367018664281,,0.14043441639915402,0.24631221136972825,0.0630770208413891,0.00465458306848381,1.0,0.028526087673158434,1.0,1.0,0.15666682585245292
Muscardine,0.295883903238334,-0.41636416927331243,0.40017492179361697,0.00038882917643024583,0.03801367018664281,,0.14043441639915402,0.24631221136972825,0.0630770208413891,0.00465458306848381,1.0,0.028526087673158434,1.0,1.0,0.15666682585245292
Total_Pests,0.6310441959676862,-0.33132175603607633,0.5861142267644621,0.43625680924721855,0.2688699093568994,,0.06676375990792044,0.44663424049627864,-0.2628746932533985,0.029003798388172932,0.15666682585245292,0.40774751367855255,0.15666682585245292,0.15666682585245292,1.0
