Feature,Importance
Net_Tech_Binary,0.36052703803762404
Tmin,0.11136255730066179
Spacing_6x6,0.09298555779430741
Temp_Range,0.09141452919608437
THI,0.07962135730299132
Tmax,0.06133281708380886
Has_Ants,0.05752482607796217
Humidity,0.05415700890809637
Wind_Speed,0.03410688575768699
Spacing_8x8,0.03309949331832452
Has_Uzi,0.011850032878144784
Spacing_6x10,0.0062344281481638945
Has_Mites,0.0027188530727048315
Has_Spiders,0.002057720057720059
Has_Athropoda,0.0010068950657185943
Spacing_10x10,0.0
Spacing_12x12,0.0
