Disease,Climate,Lag,Correlation,P_value
Pebrine,THI_3day,1,0.6609839596354412,0.0004375967593011616
Pebrine,Tmax_3day,1,0.3566543726729391,0.08712714175837163
Pebrine,Humidity_3day,1,0.10218524790889068,0.6346968873302646
Virosis,THI_3day,1,0.5463907274287301,0.0057370792429741885
Virosis,Tmax_3day,1,0.4783095702134783,0.018067215386302606
Virosis,Humidity_3day,1,0.19422313431305163,0.36313726178964156
Bacteriosis,THI_3day,1,0.6609839596354412,0.0004375967593011616
Bacteriosis,Tmax_3day,1,0.3566543726729391,0.08712714175837163
Bacteriosis,Humidity_3day,1,0.10218524790889068,0.6346968873302646
Muscardine,THI_3day,1,0.6609839596354412,0.0004375967593011616
Muscardine,Tmax_3day,1,0.3566543726729391,0.08712714175837163
Muscardine,Humidity_3day,1,0.10218524790889068,0.6346968873302646
