Disease,Climate_Variable,Optimal_Threshold,Youden_J,Mean_Disease_Above,Mean_Disease_Below
Pebrine,THI,34.04081632653061,0.33916083916083917,0.45454545454545453,0.11538461538461539
Pebrine,Tmax,27.555102040816326,0.48571428571428577,0.23404255319148937,0.0
Pebrine,Humidity,70.85102040816327,0.19999999999999996,0.16417910447761194,0.0
Virosis,THI,32.08163265306123,0.3315217391304348,1.425531914893617,0.0625
Virosis,Tmax,29.648979591836735,0.5502248875562219,1.6,0.2608695652173913
Virosis,Humidity,74.7326530612245,0.26686656671664166,1.0806451612903225,0.05263157894736842
Bacteriosis,THI,34.04081632653061,0.33916083916083917,0.45454545454545453,0.11538461538461539
Bacteriosis,Tmax,27.555102040816326,0.48571428571428577,0.23404255319148937,0.0
Bacteriosis,Humidity,70.85102040816327,0.19999999999999996,0.16417910447761194,0.0
Muscardine,THI,34.04081632653061,0.33916083916083917,0.45454545454545453,0.11538461538461539
Muscardine,Tmax,27.555102040816326,0.48571428571428577,0.23404255319148937,0.0
Muscardine,Humidity,70.85102040816327,0.19999999999999996,0.16417910447761194,0.0
